alert_id,transaction_id,account_id,alert_type,alert_severity,alert_reason,predicted_typology,typology_confidence,nlp_triage_score,nlp_triage_band,nlp_triage_reasons,suggested_review_queue
ALERT000194,TXN0001150,ACCT000044,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,98,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000195,TXN0001156,ACCT000211,new_beneficiary,high,Synthetic alert generated for new beneficiary risk.,shared_beneficiary,0.75,76,High,TYPOLOGY:shared_beneficiary; ORIGINAL_LABEL_HINT:new_beneficiary_risk; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Network risk review
ALERT000196,TXN0001158,ACCT000418,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000197,TXN0001166,ACCT000322,mule_activity,high,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,93,Critical,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000198,TXN0001168,ACCT000374,mule_activity,medium,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,85,High,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000199,TXN0001176,ACCT000495,amount_spike,high,Synthetic alert generated for unusual amount spike.,unknown,0.75,38,Low,TYPOLOGY:unknown; ORIGINAL_LABEL_HINT:unusual_amount_spike; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Monitoring queue
ALERT000200,TXN0001183,ACCT000292,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,98,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000201,TXN0001184,ACCT000319,structuring_indicator,high,Synthetic alert generated for round number payments.,structuring,0.9,91,Critical,"TYPOLOGY:structuring; KEYWORD:round-number, KEYWORD:repeated round; HIGH_ALERT_SEVERITY; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000202,TXN0001186,ACCT000492,amount_spike,medium,Synthetic alert generated for unusual amount spike.,unknown,0.75,30,Low,TYPOLOGY:unknown; ORIGINAL_LABEL_HINT:unusual_amount_spike; NETWORK_HIGH_OR_CRITICAL,Monitoring queue
ALERT000203,TXN0001190,ACCT000610,jurisdiction_risk,high,Synthetic alert generated for high risk jurisdiction exposure.,high_risk_jurisdiction,0.9,88,High,"TYPOLOGY:high_risk_jurisdiction; KEYWORD:higher-risk, KEYWORD:destination country; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000204,TXN0001195,ACCT000194,mule_activity,medium,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,85,High,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000205,TXN0001198,ACCT000105,velocity_rule,medium,Synthetic alert generated for high transaction velocity.,rapid_movement,0.9,78,High,TYPOLOGY:rapid_movement; KEYWORD:short time window; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000206,TXN0001200,ACCT000685,amount_spike,medium,Synthetic alert generated for unusual amount spike.,unknown,0.75,30,Low,TYPOLOGY:unknown; ORIGINAL_LABEL_HINT:unusual_amount_spike; NETWORK_HIGH_OR_CRITICAL,Monitoring queue
ALERT000207,TXN0001201,ACCT000671,jurisdiction_risk,high,Synthetic alert generated for high risk jurisdiction exposure.,high_risk_jurisdiction,0.9,88,High,"TYPOLOGY:high_risk_jurisdiction; KEYWORD:higher-risk, KEYWORD:destination country; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000208,TXN0001204,ACCT000401,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,98,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000209,TXN0001205,ACCT000531,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000210,TXN0001214,ACCT000474,structuring_indicator,medium,Synthetic alert generated for round number payments.,structuring,0.9,83,High,"TYPOLOGY:structuring; KEYWORD:round-number, KEYWORD:repeated round; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000211,TXN0001219,ACCT000053,mule_activity,high,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,93,Critical,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000212,TXN0001222,ACCT000109,mule_activity,medium,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,85,High,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000213,TXN0001235,ACCT000441,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000214,TXN0001236,ACCT000357,structuring_indicator,medium,Synthetic alert generated for round number payments.,structuring,0.9,83,High,"TYPOLOGY:structuring; KEYWORD:round-number, KEYWORD:repeated round; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000215,TXN0001246,ACCT000456,amount_spike,medium,Synthetic alert generated for unusual amount spike.,unknown,0.75,30,Low,TYPOLOGY:unknown; ORIGINAL_LABEL_HINT:unusual_amount_spike; NETWORK_HIGH_OR_CRITICAL,Monitoring queue
ALERT000216,TXN0001258,ACCT000052,new_beneficiary,medium,Synthetic alert generated for new beneficiary risk.,shared_beneficiary,0.75,68,Medium,TYPOLOGY:shared_beneficiary; ORIGINAL_LABEL_HINT:new_beneficiary_risk; NETWORK_HIGH_OR_CRITICAL,Network risk review
ALERT000217,TXN0001267,ACCT000106,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,98,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000218,TXN0001269,ACCT000177,shared_device,high,Synthetic alert generated for shared device behaviour.,shared_device,0.9,78,High,"TYPOLOGY:shared_device; KEYWORD:device reuse, KEYWORD:multiple account; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",Network risk review
ALERT000219,TXN0001270,ACCT000361,amount_spike,high,Synthetic alert generated for unusual amount spike.,unknown,0.75,46,Medium,TYPOLOGY:unknown; ORIGINAL_LABEL_HINT:unusual_amount_spike; HIGH_ALERT_SEVERITY; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL,Monitoring queue
ALERT000220,TXN0001271,ACCT000468,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,98,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000221,TXN0001273,ACCT000335,structuring_indicator,high,Synthetic alert generated for round number payments.,structuring,0.9,91,Critical,"TYPOLOGY:structuring; KEYWORD:round-number, KEYWORD:repeated round; HIGH_ALERT_SEVERITY; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000222,TXN0001275,ACCT000302,amount_spike,medium,Synthetic alert generated for unusual amount spike.,unknown,0.75,30,Low,TYPOLOGY:unknown; ORIGINAL_LABEL_HINT:unusual_amount_spike; NETWORK_HIGH_OR_CRITICAL,Monitoring queue
ALERT000223,TXN0001292,ACCT000018,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,98,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000224,TXN0001296,ACCT000180,structuring_indicator,medium,Synthetic alert generated for round number payments.,structuring,0.9,83,High,"TYPOLOGY:structuring; KEYWORD:round-number, KEYWORD:repeated round; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000225,TXN0001302,ACCT000587,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,98,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000226,TXN0001303,ACCT000443,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,98,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000227,TXN0001307,ACCT000230,shared_device,medium,Synthetic alert generated for shared device behaviour.,shared_device,0.9,70,High,"TYPOLOGY:shared_device; KEYWORD:device reuse, KEYWORD:multiple account; NETWORK_HIGH_OR_CRITICAL",Network risk review
ALERT000228,TXN0001308,ACCT000062,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000229,TXN0001317,ACCT000044,new_beneficiary,medium,Synthetic alert generated for new beneficiary risk.,shared_beneficiary,0.75,68,Medium,TYPOLOGY:shared_beneficiary; ORIGINAL_LABEL_HINT:new_beneficiary_risk; NETWORK_HIGH_OR_CRITICAL,Network risk review
ALERT000230,TXN0001323,ACCT000477,velocity_rule,medium,Synthetic alert generated for high transaction velocity.,rapid_movement,0.9,78,High,TYPOLOGY:rapid_movement; KEYWORD:short time window; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000231,TXN0001328,ACCT000203,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000232,TXN0001332,ACCT000515,mule_activity,high,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,100,Critical,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; HIGH_ALERT_SEVERITY; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000233,TXN0001338,ACCT000572,amount_spike,medium,Synthetic alert generated for unusual amount spike.,unknown,0.75,30,Low,TYPOLOGY:unknown; ORIGINAL_LABEL_HINT:unusual_amount_spike; NETWORK_HIGH_OR_CRITICAL,Monitoring queue
ALERT000234,TXN0001347,ACCT000009,amount_spike,high,Synthetic alert generated for unusual amount spike.,unknown,0.75,46,Medium,TYPOLOGY:unknown; ORIGINAL_LABEL_HINT:unusual_amount_spike; HIGH_ALERT_SEVERITY; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL,Monitoring queue
ALERT000235,TXN0001354,ACCT000108,jurisdiction_risk,high,Synthetic alert generated for high risk jurisdiction exposure.,high_risk_jurisdiction,0.9,88,High,"TYPOLOGY:high_risk_jurisdiction; KEYWORD:higher-risk, KEYWORD:destination country; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000236,TXN0001362,ACCT000437,new_beneficiary,medium,Synthetic alert generated for new beneficiary risk.,shared_beneficiary,0.75,68,Medium,TYPOLOGY:shared_beneficiary; ORIGINAL_LABEL_HINT:new_beneficiary_risk; NETWORK_HIGH_OR_CRITICAL,Network risk review
ALERT000237,TXN0001367,ACCT000652,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000238,TXN0001373,ACCT000054,jurisdiction_risk,high,Synthetic alert generated for high risk jurisdiction exposure.,high_risk_jurisdiction,0.9,88,High,"TYPOLOGY:high_risk_jurisdiction; KEYWORD:higher-risk, KEYWORD:destination country; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000239,TXN0001382,ACCT000073,new_beneficiary,high,Synthetic alert generated for new beneficiary risk.,shared_beneficiary,0.75,84,High,TYPOLOGY:shared_beneficiary; ORIGINAL_LABEL_HINT:new_beneficiary_risk; HIGH_ALERT_SEVERITY; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL,Network risk review
ALERT000240,TXN0001392,ACCT000255,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000241,TXN0001410,ACCT000620,velocity_rule,medium,Synthetic alert generated for high transaction velocity.,rapid_movement,0.9,78,High,TYPOLOGY:rapid_movement; KEYWORD:short time window; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000242,TXN0001417,ACCT000627,velocity_rule,medium,Synthetic alert generated for high transaction velocity.,rapid_movement,0.9,78,High,TYPOLOGY:rapid_movement; KEYWORD:short time window; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000243,TXN0001418,ACCT000602,jurisdiction_risk,high,Synthetic alert generated for high risk jurisdiction exposure.,high_risk_jurisdiction,0.9,88,High,"TYPOLOGY:high_risk_jurisdiction; KEYWORD:higher-risk, KEYWORD:destination country; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000244,TXN0001419,ACCT000421,mule_activity,medium,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,85,High,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000245,TXN0001434,ACCT000691,shared_device,medium,Synthetic alert generated for shared device behaviour.,shared_device,0.9,78,High,"TYPOLOGY:shared_device; KEYWORD:device reuse, KEYWORD:multiple account; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Network risk review
ALERT000246,TXN0001438,ACCT000162,shared_device,medium,Synthetic alert generated for shared device behaviour.,shared_device,0.9,70,High,"TYPOLOGY:shared_device; KEYWORD:device reuse, KEYWORD:multiple account; NETWORK_HIGH_OR_CRITICAL",Network risk review
ALERT000247,TXN0001454,ACCT000054,jurisdiction_risk,high,Synthetic alert generated for high risk jurisdiction exposure.,high_risk_jurisdiction,0.9,88,High,"TYPOLOGY:high_risk_jurisdiction; KEYWORD:higher-risk, KEYWORD:destination country; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000248,TXN0001464,ACCT000035,structuring_indicator,high,Synthetic alert generated for round number payments.,structuring,0.9,91,Critical,"TYPOLOGY:structuring; KEYWORD:round-number, KEYWORD:repeated round; HIGH_ALERT_SEVERITY; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000249,TXN0001466,ACCT000042,new_beneficiary,medium,Synthetic alert generated for new beneficiary risk.,shared_beneficiary,0.75,68,Medium,TYPOLOGY:shared_beneficiary; ORIGINAL_LABEL_HINT:new_beneficiary_risk; NETWORK_HIGH_OR_CRITICAL,Network risk review
ALERT000250,TXN0001481,ACCT000640,structuring_indicator,medium,Synthetic alert generated for round number payments.,structuring,0.9,93,Critical,"TYPOLOGY:structuring; KEYWORD:round-number, KEYWORD:repeated round; AML_HIGH_OR_CRITICAL; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000251,TXN0001488,ACCT000593,jurisdiction_risk,high,Synthetic alert generated for high risk jurisdiction exposure.,high_risk_jurisdiction,0.9,88,High,"TYPOLOGY:high_risk_jurisdiction; KEYWORD:higher-risk, KEYWORD:destination country; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000252,TXN0001493,ACCT000559,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000253,TXN0001495,ACCT000453,structuring_indicator,medium,Synthetic alert generated for round number payments.,structuring,0.9,83,High,"TYPOLOGY:structuring; KEYWORD:round-number, KEYWORD:repeated round; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000254,TXN0001512,ACCT000302,mule_activity,high,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,93,Critical,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000255,TXN0001520,ACCT000416,shared_device,high,Synthetic alert generated for shared device behaviour.,shared_device,0.9,78,High,"TYPOLOGY:shared_device; KEYWORD:device reuse, KEYWORD:multiple account; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",Network risk review
ALERT000256,TXN0001521,ACCT000209,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000257,TXN0001524,ACCT000381,velocity_rule,medium,Synthetic alert generated for high transaction velocity.,rapid_movement,0.9,78,High,TYPOLOGY:rapid_movement; KEYWORD:short time window; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000258,TXN0001527,ACCT000303,mule_activity,medium,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,85,High,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000259,TXN0001530,ACCT000108,amount_spike,medium,Synthetic alert generated for unusual amount spike.,unknown,0.75,30,Low,TYPOLOGY:unknown; ORIGINAL_LABEL_HINT:unusual_amount_spike; NETWORK_HIGH_OR_CRITICAL,Monitoring queue
ALERT000260,TXN0001532,ACCT000303,rapid_movement,high,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,94,Critical,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; HIGH_ALERT_SEVERITY; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000261,TXN0001537,ACCT000113,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000262,TXN0001542,ACCT000583,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,98,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000263,TXN0001543,ACCT000140,mule_activity,medium,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,85,High,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000264,TXN0001545,ACCT000495,shared_device,medium,Synthetic alert generated for shared device behaviour.,shared_device,0.9,78,High,"TYPOLOGY:shared_device; KEYWORD:device reuse, KEYWORD:multiple account; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Network risk review
ALERT000265,TXN0001547,ACCT000137,structuring_indicator,medium,Synthetic alert generated for round number payments.,structuring,0.9,93,Critical,"TYPOLOGY:structuring; KEYWORD:round-number, KEYWORD:repeated round; PRIORITISED_ALERT_HIGH_OR_CRITICAL; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000266,TXN0001552,ACCT000048,structuring_indicator,medium,Synthetic alert generated for round number payments.,structuring,0.9,93,Critical,"TYPOLOGY:structuring; KEYWORD:round-number, KEYWORD:repeated round; PRIORITISED_ALERT_HIGH_OR_CRITICAL; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000267,TXN0001554,ACCT000234,structuring_indicator,medium,Synthetic alert generated for round number payments.,structuring,0.9,93,Critical,"TYPOLOGY:structuring; KEYWORD:round-number, KEYWORD:repeated round; AML_HIGH_OR_CRITICAL; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000268,TXN0001559,ACCT000387,jurisdiction_risk,high,Synthetic alert generated for high risk jurisdiction exposure.,high_risk_jurisdiction,0.9,88,High,"TYPOLOGY:high_risk_jurisdiction; KEYWORD:higher-risk, KEYWORD:destination country; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000269,TXN0001563,ACCT000675,amount_spike,medium,Synthetic alert generated for unusual amount spike.,unknown,0.75,30,Low,TYPOLOGY:unknown; ORIGINAL_LABEL_HINT:unusual_amount_spike; NETWORK_HIGH_OR_CRITICAL,Monitoring queue
ALERT000270,TXN0001564,ACCT000535,mule_activity,high,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,93,Critical,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000271,TXN0001565,ACCT000690,structuring_indicator,medium,Synthetic alert generated for round number payments.,structuring,0.9,83,High,"TYPOLOGY:structuring; KEYWORD:round-number, KEYWORD:repeated round; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000272,TXN0001567,ACCT000610,amount_spike,medium,Synthetic alert generated for unusual amount spike.,unknown,0.75,30,Low,TYPOLOGY:unknown; ORIGINAL_LABEL_HINT:unusual_amount_spike; NETWORK_HIGH_OR_CRITICAL,Monitoring queue
ALERT000273,TXN0001569,ACCT000655,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000274,TXN0001577,ACCT000690,shared_device,high,Synthetic alert generated for shared device behaviour.,shared_device,0.9,86,High,"TYPOLOGY:shared_device; KEYWORD:device reuse, KEYWORD:multiple account; HIGH_ALERT_SEVERITY; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Network risk review
ALERT000275,TXN0001593,ACCT000661,velocity_rule,medium,Synthetic alert generated for high transaction velocity.,rapid_movement,0.9,78,High,TYPOLOGY:rapid_movement; KEYWORD:short time window; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000276,TXN0001596,ACCT000334,velocity_rule,high,Synthetic alert generated for high transaction velocity.,rapid_movement,0.9,86,High,TYPOLOGY:rapid_movement; KEYWORD:short time window; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000277,TXN0001603,ACCT000687,shared_device,high,Synthetic alert generated for shared device behaviour.,shared_device,0.9,86,High,"TYPOLOGY:shared_device; KEYWORD:device reuse, KEYWORD:multiple account; HIGH_ALERT_SEVERITY; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Network risk review
ALERT000278,TXN0001606,ACCT000184,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,100,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000279,TXN0001609,ACCT000446,mule_activity,high,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,93,Critical,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000280,TXN0001618,ACCT000065,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000281,TXN0001620,ACCT000003,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000282,TXN0001622,ACCT000056,amount_spike,high,Synthetic alert generated for unusual amount spike.,unknown,0.75,38,Low,TYPOLOGY:unknown; ORIGINAL_LABEL_HINT:unusual_amount_spike; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Monitoring queue
ALERT000283,TXN0001623,ACCT000197,velocity_rule,medium,Synthetic alert generated for high transaction velocity.,rapid_movement,0.9,78,High,TYPOLOGY:rapid_movement; KEYWORD:short time window; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000284,TXN0001630,ACCT000601,mule_activity,medium,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,85,High,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000285,TXN0001631,ACCT000328,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,98,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000286,TXN0001636,ACCT000103,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,100,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000287,TXN0001641,ACCT000627,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,98,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000288,TXN0001650,ACCT000576,jurisdiction_risk,high,Synthetic alert generated for high risk jurisdiction exposure.,high_risk_jurisdiction,0.9,88,High,"TYPOLOGY:high_risk_jurisdiction; KEYWORD:higher-risk, KEYWORD:destination country; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",AML review
