transaction_id,account_id,customer_id,is_suspicious,suspicious_pattern,anomaly_score,is_anomaly,anomaly_rank,anomaly_band,top_anomaly_reasons,fraud_probability,fraud_prediction,aml_risk_score,aml_risk_band,aml_risk_reasons,priority_score,priority_band,recommended_action
TXN0002853,ACCT000334,CUST000123,True,round_number_payments,82.5282,True,84,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000746,ACCT000564,CUST000033,True,round_number_payments,82.5233,True,85,High,ROUND_AMOUNT_PATTERN,,,35,Low,Structuring pattern indicator; Repeated round-amount activity; Synthetic suspicious helper label present,,,
TXN0003193,ACCT000003,CUST000018,True,rapid_movement_of_funds,82.4422,True,86,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0003852,ACCT000088,CUST000495,True,round_number_payments,82.3435,True,87,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,0.9999999404370086,1.0,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,74.15,High,Investigator review
TXN0001725,ACCT000036,CUST000338,True,round_number_payments,82.3406,True,88,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN,,,45,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Synthetic suspicious helper label present,,,
TXN0003324,ACCT000247,CUST000217,True,rapid_movement_of_funds,82.3252,True,89,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0002826,ACCT000473,CUST000249,True,round_number_payments,82.0928,True,90,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001236,ACCT000357,CUST000238,True,round_number_payments,81.8648,True,91,High,ROUND_AMOUNT_PATTERN; DEVICE_RISK_SIGNAL,,,35,Low,Structuring pattern indicator; Repeated round-amount activity; Synthetic suspicious helper label present,,,
TXN0002503,ACCT000414,CUST000079,True,rapid_movement_of_funds,81.8425,True,92,High,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,63,Medium,High-risk jurisdiction exposure; Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001158,ACCT000418,CUST000124,True,rapid_movement_of_funds,81.8177,True,93,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION,,,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0004132,ACCT000618,CUST000108,True,round_number_payments,81.7905,True,94,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000867,ACCT000683,CUST000085,True,round_number_payments,81.7368,True,95,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0004777,ACCT000430,CUST000129,True,round_number_payments,81.5255,True,96,High,ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,43,Medium,Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000255,ACCT000437,CUST000080,True,round_number_payments,81.4971,True,97,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,0.999999874443638,1.0,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,74.15,High,Investigator review
TXN0002617,ACCT000200,CUST000189,True,round_number_payments,81.4274,True,98,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0004148,ACCT000543,CUST000176,True,round_number_payments,81.3889,True,99,High,ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,43,Medium,Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0003394,ACCT000319,CUST000197,True,round_number_payments,81.1335,True,100,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present,,,
